ID No.,Class Name,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce
64,android.util.DataUnit$2,2,0,0,1,3,1,0,1
65,android.util.DataUnit$3,2,0,0,1,3,1,0,1
66,android.util.DataUnit$4,2,0,0,1,3,1,0,1
67,android.util.DataUnit$5,2,0,0,1,3,1,0,1
68,android.util.DataUnit$6,2,0,0,1,3,1,0,1
69,android.util.DataUnit,6,2,0,7,16,11,0,3
70,android.media.audiofx.DefaultEffect,1,1,0,0,2,0,0,1
71,android.security.keystore.DelegatingX509Certificate,32,3,0,0,64,0,0,31
72,android.annotation.DeprecatedForSdk,2,1,0,0,2,1,0,2
73,android.hardware.devicestate.DeviceStateManagerInternal,2,1,0,0,3,1,0,2
74,android.privacy.DifferentialPrivacyConfig,1,1,0,0,1,0,0,1
75,android.annotation.DimenRes,0,1,0,0,0,0,0,0
76,android.annotation.Discouraged,1,1,0,0,1,0,0,1
77,android.annotation.DisplayContext,0,1,0,0,0,0,0,0
78,android.hardware.display.DisplayedContentSample$ColorComponent,5,2,0,1,8,6,0,2
79,android.hardware.display.DisplayedContentSample,3,1,0,1,6,0,0,3
80,android.hardware.display.DisplayedContentSamplingAttributes,4,1,0,0,5,0,0,4
81,android.net.metrics.DnsEvent,4,1,0,0,15,0,0,3
82,android.renderscript.Double2,31,1,0,0,34,0,0,31
83,android.renderscript.Double3,31,1,0,0,33,0,0,31
84,android.renderscript.Double4,31,1,0,0,33,0,0,31
85,android.webkit.DownloadListener,1,1,0,0,1,0,0,1
86,android.annotation.DrawableRes,0,1,0,0,0,0,0,0
87,android.graphics.DrawFilter,3,1,0,0,5,3,0,1
88,android.drm.DrmEvent,6,1,0,0,9,0,0,4
89,android.drm.DrmStore$Action,2,1,0,0,3,1,0,1
90,android.drm.DrmStore$ConstraintsColumns,0,1,0,0,0,0,0,0
91,android.drm.DrmStore$DrmObjectType,1,1,0,0,2,0,0,1
92,android.drm.DrmStore$Playback,2,1,0,0,3,1,0,1
93,android.drm.DrmStore$RightsStatus,1,1,0,0,2,0,0,1
94,android.drm.DrmStore,1,1,0,0,2,0,0,1
95,android.drm.DrmSupportInfo,12,1,0,0,25,0,0,10
96,android.drm.DrmUtils$ExtendedMetadataParser,6,1,0,0,16,3,0,3
97,android.drm.DrmUtils,7,1,0,1,18,21,0,2
98,android.annotation.DurationMillisLong,0,1,0,0,0,0,0,0
99,android.opengl.EGLObjectHandle,5,1,0,0,7,0,0,3
100,android.annotation.ElapsedRealtimeLong,0,1,0,0,0,0,0,0
101,android.sax.EndElementListener,1,1,0,0,1,0,0,1
102,android.sax.EndTextElementListener,1,1,0,0,1,0,0,1
103,android.annotation.EnforcePermission,3,1,0,0,3,3,0,3
104,android.opengl.ETC1,10,1,0,0,11,45,0,10
105,android.util.EventLogTags$Description,1,1,0,0,2,0,0,0
106,android.util.EventLogTags,4,1,0,1,5,6,0,4
107,android.util.FastImmutableArraySet$FastIterator,4,1,0,0,6,0,0,4
108,android.util.FastImmutableArraySet,3,3,0,1,5,0,0,3
109,android.webkit.FindAddress$ZipRange,2,1,0,0,5,0,0,0
110,android.webkit.FindAddress,9,1,0,1,35,20,0,0
111,android.test.FlakyTest,1,1,0,0,1,0,0,1
112,android.renderscript.Float2,31,1,0,0,33,0,0,31
113,android.renderscript.Float3,31,1,0,0,34,0,0,31
114,android.renderscript.Float4,31,1,0,0,33,0,0,31
115,android.util.FloatMath,9,1,0,0,18,36,0,8
116,android.annotation.FloatRange,4,1,0,0,4,6,0,4
117,android.annotation.FontRes,0,1,0,0,0,0,0,0
118,android.nfc.FormatException,3,3,0,0,6,3,0,3
119,android.annotation.FractionRes,0,1,0,0,0,0,0,0
120,android.view.FrameStats,6,1,0,0,8,3,0,6
121,android.filterfw.core.GenerateFieldPort,2,1,0,0,2,1,0,2
122,android.filterfw.core.GenerateFinalPort,2,1,0,0,2,1,0,2
123,android.filterfw.core.GenerateProgramPort,4,1,0,0,4,6,0,4
124,android.security.GenerateRkpKeyException,1,3,0,0,2,0,0,1
125,android.hardware.GeomagneticField$LegendreTable,2,1,0,0,7,0,0,1
126,android.hardware.GeomagneticField,11,1,0,1,31,13,0,8
127,android.gesture.GestureConstants,0,1,0,0,0,0,0,0
128,android.gesture.GesturePoint,3,1,0,0,6,1,0,2
129,android.text.GetChars,1,1,0,0,1,0,0,1
130,android.opengl.GLES10,130,1,0,0,132,8385,0,124
131,android.opengl.GLES10Ext,5,1,0,0,6,10,0,3
132,android.opengl.GLES31Ext$DebugProcKHR,1,1,0,0,1,0,0,1
133,android.opengl.GLES31Ext,51,1,0,1,52,1275,0,48
134,android.opengl.GLWallpaperService,1,1,0,0,2,0,0,0
135,android.location.GpsSatellite,9,1,0,0,10,22,0,7
136,android.filterfw.io.GraphIOException,2,3,0,0,4,1,0,2
137,android.annotation.HalfFloat,0,1,0,0,0,0,0,0
138,android.view.HapticFeedbackConstants,1,1,0,0,2,0,0,0
139,android.graphics.animation.HasNativeInterpolator,0,1,0,0,0,0,0,0
140,android.view.translation.Helper,2,1,0,0,4,1,0,0
141,android.annotation.Hide,0,1,0,0,0,0,0,0
142,android.text.Hyphenator,3,1,0,0,4,3,0,1
143,android.annotation.IdRes,0,1,0,0,0,0,0,0
144,android.view.InflateException,4,4,0,0,8,6,0,4
145,android.renderscript.Int2,36,1,0,0,38,0,0,36
146,android.renderscript.Int3,36,1,0,0,38,0,0,36
147,android.renderscript.Int4,36,1,0,0,38,0,0,36
148,android.annotation.IntDef,4,1,0,0,4,6,0,4
149,android.annotation.IntegerRes,0,1,0,0,0,0,0,0
150,android.annotation.InterpolatorRes,0,1,0,0,0,0,0,0
151,android.annotation.IntRange,2,1,0,0,2,1,0,2
152,android.webkit.JavascriptInterface,0,1,0,0,0,0,0,0
153,android.util.JsonScope,5,2,0,1,8,6,0,2
154,android.util.JsonToken,5,2,0,1,8,6,0,2
155,android.security.keystore.KeyAttestationException,2,3,0,0,4,1,0,2
156,android.security.KeyChainException,4,3,0,0,8,6,0,4
157,android.security.keystore.KeyExpiredException,3,6,0,0,5,3,0,3
158,android.security.keystore.KeyNotYetValidException,3,6,0,0,5,3,0,3
159,android.security.keystore.KeyPermanentlyInvalidatedException,3,6,0,0,5,3,0,3
160,android.security.keystore.KeyStoreConnectException,1,5,0,0,2,0,0,1
161,android.test.suitebuilder.annotation.LargeTest,0,1,0,0,0,0,0,0
162,android.util.LayoutDirection,1,1,0,0,2,0,0,0
163,android.annotation.LayoutRes,0,1,0,0,0,0,0,0
164,android.hardware.camera2.utils.ListUtils,5,1,0,0,16,10,0,4
165,android.net.LocalSocketAddress$Namespace,6,2,0,1,9,9,0,2
166,android.net.LocalSocketAddress,4,1,0,1,5,2,0,4
167,android.location.LocationDeviceConfig,1,1,0,0,2,0,0,0
168,android.app.time.LocationTimeZoneManager,1,1,0,0,2,0,0,0
169,android.renderscript.Long2,36,1,0,0,38,0,0,36
170,android.renderscript.Long3,36,1,0,0,38,0,0,36
171,android.renderscript.Long4,36,1,0,0,38,0,0,36
172,android.annotation.LongDef,3,1,0,0,3,3,0,3
173,android.net.lowpan.LowpanProperty,5,1,0,0,8,10,0,5
174,android.content.pm.MacAuthenticatedInputStream,4,3,0,0,10,0,0,4
175,android.annotation.MainThread,0,1,0,0,0,0,0,0
176,android.util.MalformedJsonException,1,4,0,0,2,0,0,1
177,android.graphics.MaskFilter,3,1,0,0,4,3,0,1
178,android.opengl.Matrix,20,1,0,0,27,184,0,19
179,android.renderscript.Matrix2f,14,1,0,0,18,1,0,14
180,android.renderscript.Matrix3f,20,1,0,0,25,34,0,20
181,MavenWrapperDownloader$1,2,2,0,0,4,0,0,0
182,android.media.MediaDataSource,3,1,0,0,4,3,0,3
183,android.media.MediaDrmException,1,3,0,0,2,0,0,1
184,android.media.MediaDrmResetException,1,5,0,0,2,0,0,1
185,android.filterpacks.videosink.MediaRecorderStopException,4,4,0,0,8,6,0,4
186,android.media.MediaScannerClient,3,1,0,0,3,3,0,3
187,android.media.MediaTimeProvider$OnMediaTimeListener,3,1,0,0,3,3,0,3
188,android.media.MediaTimeProvider,4,1,0,1,4,6,0,4
189,android.test.suitebuilder.annotation.MediumTest,0,1,0,0,0,0,0,0
190,android.annotation.MenuRes,0,1,0,0,0,0,0,0
191,android.media.midi.MidiPortImpl,7,1,0,0,9,21,0,6
192,android.media.midi.MidiReceiver,8,1,0,0,9,22,0,8
193,android.mtp.MtpConstants,2,1,0,0,3,1,0,2
194,android.mtp.MtpEvent,11,1,0,1,13,0,0,10
195,android.util.MutableBoolean,1,1,0,0,2,0,0,1
196,android.util.MutableByte,1,1,0,0,2,0,0,1
197,android.util.MutableChar,1,1,0,0,2,0,0,1
198,android.util.MutableDouble,1,1,0,0,2,0,0,1
199,android.util.MutableFloat,1,1,0,0,2,0,0,1
200,android.util.MutableInt,1,1,0,0,2,0,0,1
201,android.util.MutableLong,1,1,0,0,2,0,0,1
202,android.util.MutableShort,1,1,0,0,2,0,0,1
203,android.filterfw.core.NativeAllocatorTag,1,1,0,0,2,0,0,1
204,android.graphics.animation.NativeInterpolator,1,1,0,0,1,0,0,1
205,android.view.NativeVectorDrawableAnimator,1,1,0,0,1,0,0,1
206,android.annotation.NavigationRes,0,1,0,0,0,0,0,0
207,android.net.util.NetworkConstants,3,1,0,0,5,3,0,1
208,android.os.NetworkOnMainThreadException,1,4,0,0,2,0,0,1
209,android.text.NoCopySpan$Concrete,1,1,0,1,2,0,0,1
210,android.text.NoCopySpan,0,1,0,0,0,0,0,0
211,android.annotation.NonNull,0,1,0,0,0,0,0,0
212,android.annotation.NonUiContext,0,1,0,0,0,0,0,0
213,android.util.NoSuchPropertyException,1,4,0,0,2,0,0,1
214,android.annotation.Nullable,0,1,0,0,0,0,0,0
215,android.app.servertransaction.ObjectPoolItem,1,1,0,0,1,0,0,1
216,android.service.autofill.OnClickAction,0,1,0,0,0,0,0,0
217,android.widget.OnDateChangedListener,1,1,0,0,1,0,0,1
218,android.provider.OneTimeUseBuilder,4,1,0,0,6,0,0,2
219,android.location.OnNmeaMessageListener,1,1,0,0,1,0,0,1
220,android.os.storage.OnObbStateChangeListener,2,1,0,0,3,1,0,2
221,android.content.OperationApplicationException,7,3,0,0,11,0,0,7
222,android.os.OperationCanceledException,2,4,0,0,3,1,0,2
223,android.content.pm.dex.PackageOptimizationInfo,4,1,0,0,5,2,0,4
224,android.text.style.ParagraphStyle,0,1,0,0,0,0,0,0
225,android.os.ParcelFormatException,2,4,0,0,4,1,0,2
226,android.graphics.PathEffect,3,1,0,0,4,3,0,1
227,android.util.Patterns,4,1,0,0,16,6,0,2
228,android.app.PendingIntentStats,1,1,0,0,2,0,0,1
229,android.test.PerformanceTestCase$Intermediates,5,1,0,0,5,10,0,5
230,android.test.PerformanceTestCase,2,1,0,1,2,1,0,2
231,android.annotation.PluralsRes,0,1,0,0,0,0,0,0
232,android.gesture.Prediction,2,1,0,0,3,0,0,1
233,android.util.Printer,1,1,0,0,1,0,0,1
234,android.drm.ProcessedData,5,1,0,0,6,0,0,3
235,android.annotation.PropagateAllowBlocking,0,1,0,0,0,0,0,0
236,android.filterfw.core.ProtocolException,2,4,0,0,4,1,0,2
237,android.hardware.camera2.impl.PublicKey,0,1,0,0,0,0,0,0
238,android.content.QuickViewConstants,1,1,0,0,2,0,0,0
239,android.graphics.Rasterizer,2,1,0,0,3,1,0,1
240,android.annotation.RawRes,0,1,0,0,0,0,0,0
241,android.content.pm.RegisteredServicesCacheListener,1,1,0,0,1,0,0,1
242,android.os.RemoteMailException,2,3,0,0,4,1,0,2
243,android.test.RepetitiveTest,1,1,0,0,1,0,0,1
244,android.annotation.RequiresFeature,2,1,0,0,2,1,0,2
245,android.annotation.RequiresNoPermission,0,1,0,0,0,0,0,0
246,android.annotation.RequiresPermission$Read,1,1,0,1,1,0,0,1
247,android.annotation.RequiresPermission$Write,1,1,0,1,1,0,0,1
248,android.annotation.RequiresPermission,4,1,0,0,4,6,0,4
249,android.media.ResampleInputStream,8,2,0,0,15,14,0,5
250,android.telecom.Response,2,1,0,0,2,1,0,2
251,android.renderscript.RSRuntimeException,1,4,0,0,2,0,0,1
252,android.widget.RtlSpacingHelper,8,1,0,0,9,0,0,7
253,android.net.rtp.RtpStream,15,1,0,0,21,83,0,9
254,android.webkit.SafeBrowsingResponse,4,1,0,0,5,6,0,4
255,android.media.permission.SafeCloseable,1,1,0,0,1,0,0,1
256,android.service.autofill.Sanitizer,0,1,0,0,0,0,0,0
257,android.security.Scrypt,3,1,0,0,4,3,0,2
258,android.annotation.SdkConstant$SdkConstantType,5,2,0,1,8,6,0,2
259,android.annotation.SdkConstant,1,1,0,1,1,0,0,1
260,android.widget.SectionIndexer,3,1,0,0,3,3,0,3
261,android.hardware.SensorListener,2,1,0,0,2,1,0,2
262,android.hardware.SensorPrivacyManagerInternal$OnSensorPrivacyChangedListener,1,1,0,0,1,0,0,1
263,android.hardware.SensorPrivacyManagerInternal$OnUserSensorPrivacyChangedListener,1,1,0,0,1,0,0,1
264,android.hardware.SensorPrivacyManagerInternal,5,1,0,2,6,10,0,5
265,android.renderscript.Short2,36,1,0,0,38,0,0,36
266,android.renderscript.Short3,36,1,0,0,38,0,0,36
267,android.renderscript.Short4,36,1,0,0,38,0,0,36
268,android.hardware.sidekick.SidekickInternal,4,1,0,0,5,6,0,4
269,android.util.apk.SignatureNotFoundException,2,3,0,0,4,1,0,2
270,android.test.SimpleCache,3,1,0,0,8,1,0,0
271,android.os.SimpleClock$1,2,0,0,1,4,0,0,1
272,android.os.SimpleClock,5,2,0,1,8,8,0,5
273,android.net.sip.SipErrorCode,2,1,0,0,3,1,0,1
274,android.net.sip.SipRegistrationListener,3,1,0,0,3,3,0,3
275,android.annotation.Size,4,1,0,0,4,6,0,4
276,android.test.suitebuilder.annotation.SmallTest,0,1,0,0,0,0,0,0
277,android.test.suitebuilder.annotation.Smoke,0,1,0,0,0,0,0,0
278,android.text.Spanned,5,1,0,0,5,10,0,5
279,android.util.Spline$LinearSpline,3,0,0,1,10,0,0,3
280,android.util.Spline$MonotoneCubicSpline,3,0,0,1,11,0,0,3
281,android.util.Spline,7,1,0,2,11,21,0,5
282,android.database.SQLException,3,4,0,0,6,3,0,3
283,android.database.sqlite.SQLiteStatementInfo,1,1,0,0,2,0,0,1
284,android.database.sqlite.SQLiteTransactionListener,3,1,0,0,3,3,0,3
285,SSTest,1,0,0,1,2,0,0,0
286,android.app.StackTrace,2,3,0,0,4,1,0,2
287,android.database.StaleDataException,2,4,0,0,4,1,0,2
288,android.sax.StartElementListener,1,1,0,0,1,0,0,1
289,STest,1,0,0,1,2,0,0,0
290,android.annotation.StringDef,3,1,0,0,3,3,0,3
291,android.annotation.StringRes,0,1,0,0,0,0,0,0
292,android.annotation.StyleableRes,0,1,0,0,0,0,0,0
293,android.annotation.StyleRes,0,1,0,0,0,0,0,0
294,android.test.suitebuilder.annotation.Suppress,0,1,0,0,0,0,0,0
295,android.annotation.SuppressAutoDoc,0,1,0,0,0,0,0,0
296,android.annotation.SuppressLint,1,1,0,0,1,0,0,1
297,android.provider.SyncConstValue,0,1,0,0,0,0,0,0
298,android.content.SyncStatusObserver,1,1,0,0,1,0,0,1
299,android.hardware.camera2.impl.SyntheticKey,0,1,0,0,0,0,0,0
300,android.annotation.SystemApi$Client,5,2,0,1,8,6,0,2
301,android.annotation.SystemApi$Container,1,1,0,1,1,0,0,1
302,android.annotation.SystemApi,1,1,0,1,1,0,0,1
303,android.annotation.SystemService,1,1,0,0,1,0,0,1
304,android.nfc.TagLostException,2,4,0,0,4,1,0,2
305,android.annotation.TargetApi,1,1,0,0,1,0,0,1
306,android.telephony.TelephonyLocalConnection$ConnectionImpl,1,1,0,0,1,0,0,1
307,android.telephony.TelephonyLocalConnection,4,1,0,1,7,0,0,3
308,Test,3,1,0,0,7,1,0,0
309,Test2,1,1,0,1,2,0,0,0
310,Test3,2,1,0,1,4,1,0,0
311,Test4,2,1,0,2,5,1,0,0
312,Test5,2,1,0,1,3,1,0,0
313,Test6,2,1,0,1,3,1,0,0
314,Test7,2,1,0,1,3,1,0,1
315,android.annotation.TestApi,0,1,0,0,0,0,0,0
316,android.startop.test.TestClass,1,1,0,0,2,0,0,1
317,android.text.TextDirectionHeuristic,2,1,0,0,2,1,0,2
318,android.widget.TextViewMetrics,1,1,0,0,2,0,0,0
319,android.telecom.TimedEvent,4,1,0,0,20,6,0,4
320,android.util.TimeFormatException,1,4,0,0,2,0,0,1
321,android.animation.TimeInterpolator,1,1,0,0,1,0,0,1
322,android.perftests.utils.TraceMarkParser$TraceMarkSlice,3,1,0,2,5,0,0,2
323,android.service.autofill.Transformation,0,1,0,0,0,0,0,0
324,android.annotation.TransitionRes,0,1,0,0,0,0,0,0
325,android.security.net.config.TrustAnchor,1,1,0,0,3,0,0,1
326,android.animation.TypeConverter,4,1,0,0,5,2,0,2
327,android.animation.TypeEvaluator,1,1,0,0,1,0,0,1
328,android.annotation.UiContext,0,1,0,0,0,0,0,0
329,android.annotation.UiThread,0,1,0,0,0,0,0,0
330,android.test.UiThreadTest,0,1,0,0,0,0,0,0
331,android.hardware.camera2.utils.UncheckedThrow,4,1,0,0,5,6,0,3
332,android.text.style.UpdateAppearance,0,1,0,0,0,0,0,0
333,android.annotation.UptimeMillisLong,0,1,0,0,0,0,0,0
334,android.net.UrlQuerySanitizer$IllegalCharacterValueSanitizer,6,1,0,1,16,7,0,2
335,android.net.UrlQuerySanitizer$ParameterValuePair,1,1,0,1,2,0,0,1
336,android.net.UrlQuerySanitizer$ValueSanitizer,1,1,0,0,1,0,0,1
337,android.net.UrlQuerySanitizer,34,1,0,3,64,451,0,28
338,android.annotation.UserHandleAware,4,1,0,0,4,6,0,4
339,android.annotation.UserIdInt,0,1,0,0,0,0,0,0
340,android.security.keystore.UserNotAuthenticatedException,3,6,0,0,5,3,0,3
341,android.security.keystore.UserPresenceUnavailableException,3,6,0,0,5,3,0,3
342,android.util.UtilConfig,3,1,0,0,4,1,0,2
343,android.security.keystore.Utils,4,1,0,2,8,6,0,0
344,android.service.autofill.Validator,0,1,0,0,0,0,0,0
345,android.webkit.ValueCallback,1,1,0,0,1,0,0,1
346,android.ext.shared.Version,2,1,0,0,3,1,0,1
347,android.os.strictmode.Violation,6,2,0,0,18,3,0,4
348,android.opengl.Visibility,4,1,0,0,5,6,0,4
349,android.system.VmSocketAddress,3,2,0,0,4,0,0,3
350,android.webkit.WebViewRenderProcess,2,1,0,0,3,1,0,2
351,android.annotation.Widget,0,1,0,0,0,0,0,0
352,android.widget.WidgetFlags,1,1,0,0,2,0,0,0
353,android.net.wimax.WimaxManagerConstants,1,1,0,0,2,0,0,1
354,android.annotation.WorkerThread,0,1,0,0,0,0,0,0
355,android.security.keystore.WrappedKeyEntry,5,1,0,0,6,2,0,5
356,android.util.apk.WrappedX509Certificate,27,3,0,0,54,0,0,26
357,android.security.keystore.recovery.X509CertificateParsingUtils,5,1,0,0,13,10,0,2
358,android.annotation.XmlRes,0,1,0,0,0,0,0,0
359,android.app.blob.XmlTags,1,1,0,0,2,0,0,1
